id,article_id,paragraph_number,chapeau,content_full,metadata,created_at,updated_at
000eda32-8708-4a24-94ab-bd816aa825aa,a1e6d435-5b54-45f8-8ddd-b9a21925d0a1,2,"By way of exception from paragraph 1 of this Article, the data referred to in that paragraph may be stored and processed in a third country, or a territory or one or more specified sectors within that third country, where such country, territory or sector is covered by an adequacy decision adopted pursuant to Article 45 of Regulation (EU) 2016/679.","By way of exception from paragraph 1 of this Article, the data referred to in that paragraph may be stored and processed in a third country, or a territory or one or more specified sectors within that third country, where such country, territory or sector is covered by an adequacy decision adopted pursuant to Article 45 of Regulation (EU) 2016/679.",,2025-01-01 22:50:24.07855+00,2025-01-01 22:50:24.07855+00
004bf382-5114-42d5-9714-b0e6d0a6f66a,cae0dbe2-8caa-4954-b4c2-ff42f8311db3,2,"The Commission shall ensure that the necessary human, technical and financial resources, premises and infrastructure are allocated for the effective performance of the tasks set out in Articles 57 and 59 and the exercise of its duties.","The Commission shall ensure that the necessary human, technical and financial resources, premises and infrastructure are allocated for the effective performance of the tasks set out in Articles 57 and 59 and the exercise of its duties.",,2025-01-01 22:49:09.646692+00,2025-01-01 22:49:09.646692+00
00d12b38-eca7-4ae2-accf-4415be79ad51,d50c3fe9-34b8-4e08-8cd2-30fa9842e7a4,12,"A data permit shall be issued for the duration necessary to fulfil the requested purposes and that duration shall not exceed 10 years. That duration may be extended once for a period which does not exceed 10 years, at the request of the health data user, based on arguments and documents to justify that extension which shall be provided one month before the expiry of the data permit. The health data access body may charge fees which increase to reflect the costs and risks of storing electronic health data for a period exceeding the initial period. In order to reduce such costs and fees, the health data access body may also propose to the health data user to store the dataset in a storage system with reduced capabilities. Such reduced capabilities shall not affect the security of the processed dataset. The electronic health data within the secure processing environment shall be deleted within six months of the expiry of the data permit. At the request of the health data user, the formula for the creation of the requested dataset may be stored by the health data access body.","A data permit shall be issued for the duration necessary to fulfil the requested purposes and that duration shall not exceed 10 years. That duration may be extended once for a period which does not exceed 10 years, at the request of the health data user, based on arguments and documents to justify that extension which shall be provided one month before the expiry of the data permit. The health data access body may charge fees which increase to reflect the costs and risks of storing electronic health data for a period exceeding the initial period. In order to reduce such costs and fees, the health data access body may also propose to the health data user to store the dataset in a storage system with reduced capabilities. Such reduced capabilities shall not affect the security of the processed dataset. The electronic health data within the secure processing environment shall be deleted within six months of the expiry of the data permit. At the request of the health data user, the formula for the creation of the requested dataset may be stored by the health data access body.",,2025-01-01 22:49:50.510691+00,2025-01-01 22:49:50.510691+00
0244fa59-784d-401c-b84a-c5aed2c54ce3,ce5b3ae6-7e68-47eb-92c7-3c935d09c6d1,main,"by means of implementing acts, set out the templates for the health data access application, the data permit and the health data request referred to in Articles 67, 68 and 69, respectively. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 98(2).","by means of implementing acts, set out the templates for the health data access application, the data permit and the health data request referred to in Articles 67, 68 and 69, respectively. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 98(2).",,2025-01-01 22:49:54.927714+00,2025-01-01 22:49:54.927714+00
02ba5ec8-272b-4c46-a80b-653d2404bbb8,3b93bb85-eaa7-4cb1-ab3e-f72f913f8120,4,"When seeking access to the personal electronic health data in a pseudonymised format, the health data applicant shall provide, together with the health data access application, a description of how the processing would comply with applicable Union and national law on data protection and privacy, in particular with Regulation (EU) 2016/679 and, more specifically, with Article 6(1) thereof.","When seeking access to the personal electronic health data in a pseudonymised format, the health data applicant shall provide, together with the health data access application, a description of how the processing would comply with applicable Union and national law on data protection and privacy, in particular with Regulation (EU) 2016/679 and, more specifically, with Article 6(1) thereof.",,2025-01-01 22:49:42.143841+00,2025-01-01 22:49:42.143841+00
057e87bb-70f3-4c61-bf10-24a6308237e4,019b7e94-f653-4acd-8348-125716032169,2,"The power to adopt delegated acts referred to in Article 14(2), Article 49(4) and Article 78(5) shall be conferred on the Commission for an indeterminate period of time from ... [date of entry into force of this Regulation].","The power to adopt delegated acts referred to in Article 14(2), Article 49(4) and Article 78(5) shall be conferred on the Commission for an indeterminate period of time from ... [date of entry into force of this Regulation].",,2025-01-01 22:50:45.562261+00,2025-01-01 22:50:45.562261+00
05b1b7e2-6912-49ae-b1d5-8466f29d7542,0d8152f9-62bf-478a-810f-e97756a0ce9f,2,A health data request as referred to in paragraph 1 shall include the following information,"A health data request as referred to in paragraph 1 shall include the following information the identity of the health data applicant and a description of that health data applicant’s professional functions and activities; a detailed explanation of the intended use of the electronic health data, including the purposes referred to in Article 53(1) for which the health data request is submitted; a description of the requested electronic health data, their format and the sources of those data, where possible; a description of the statistical content; a description of the safeguards planned to prevent any misuse of the requested electronic health data; a description of how the processing would comply with Article 6(1) of Regulation (EU) 2016/679 or Article 5(1) and Article 10(2) of Regulation (EU) 2018/1725; where the health data applicant intends to make use of an exception under Article 71(4), the justification required in that regard by national law pursuant to that Article.",,2025-01-01 22:49:51.885009+00,2025-01-01 22:49:51.885009+00
05ef2b66-c8f7-4b71-b2f2-173e37544e61,6a901601-1450-432e-aab5-7f661cc61a22,2,The information sheet referred to in paragraph 1 shall specify,"The information sheet referred to in paragraph 1 shall specify the identity, registered trade name or registered trademark, and contact details of the manufacturer and, where applicable, of its authorised representative; the name and version of the EHR system and date of its release; the intended purpose of the EHR system; the categories of electronic health data that the EHR system has been designed to process; the standards, formats and specifications supported by the EHR system and versions of those standards, formats and specifications.",,2025-01-01 22:48:32.005426+00,2025-01-01 22:48:32.005426+00
061fbb76-37d3-4efd-afce-a0e01eb3dee4,911b222c-f1e5-4084-a574-316d66ccc5af,13,"Where there is a positive outcome of the compliance check referred to in paragraph 5 of this Article, the Commission may, by means of implementing acts, take decisions to connect individual authorised participants to HealthData@EU. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 98(2).","Where there is a positive outcome of the compliance check referred to in paragraph 5 of this Article, the Commission may, by means of implementing acts, take decisions to connect individual authorised participants to HealthData@EU. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 98(2).",,2025-01-01 22:50:11.025994+00,2025-01-01 22:50:11.025994+00
063b1f11-e987-4fa3-9f5d-dcd0274e82f7,5f4a2dbc-d72d-45c9-a16e-d042d8afc876,2,"The Commission shall, by means of implementing acts, determine the requirements for the interoperable, cross-border identification and authentication mechanism for natural persons and health professionals, in accordance with Regulation (EU) No 910/2014. That mechanism shall facilitate the transferability of personal electronic health data in a cross-border context. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 98(2).","The Commission shall, by means of implementing acts, determine the requirements for the interoperable, cross-border identification and authentication mechanism for natural persons and health professionals, in accordance with Regulation (EU) No 910/2014. That mechanism shall facilitate the transferability of personal electronic health data in a cross-border context. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 98(2).",,2025-01-01 22:47:51.297318+00,2025-01-01 22:47:51.297318+00
